Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
32 GB,,,2 - 4 kg,,"17,3 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,500 GB,Q Türkçe,Oyun,,,,8 GB,,500 GB,,Full HD (FHD),1920 x 1080,,,,10. Nesil,Intel Core i7,6,Free Dos,4 - 6 Saat,https://www.trendyol.com//monster/abra-a7-v11-3-1-i7-10750h-8gb-500gb-4gb-gtx1650ti-17-120hz-full-hd-freedos-p-38861877,10.399 TL
,,USB,2 - 4 kg,Yok,14 inç,SD,Paylaşımlı,Dahili,Paylaşımlı,HD,İthalatçı Garantili,,,,64 GB,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Siyah,Yok,,,1366 x 768,,2 - 3,N3350,3. Nesil,Intel Celeron,2,Windows,4 - 6 Saat,https://www.trendyol.com//hometech/alfa-800c-n3350-4gb-64gb-windows-10-14-1-p-46781302,3.129 TL
,,,2 kg ve Altı,Var,"13,3 inç",DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 620,Full HD,İthalatçı Garantili,HD Ready,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Siyah,512 GB,,,1920 x 1080,3.00 GHz üstü,1 - 2,8565U,8. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//hp/elite-dragonfly-i7-8565-13-3-16gb-512ssd-wpro-p-65253112,15.300 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,16 GB,Beyaz,512 GB,,HD Ready (HD),1366 x 768,3.00 GHz üstü,1 - 2,10110U,10. Nesil,Intel Core i3,2,Windows,3 Saat ve Altı,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-16gb-512gb-ssd-win10-pro-15-6-tasinabilir-bilgisayar-1s7z6eat8-p-63438748,7.849 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,16 GB,Beyaz,512 GB,,HD Ready (HD),1366 x 768,3.00 GHz üstü,1 - 2,10110U,10. Nesil,Intel Core i3,2,Free Dos,3 Saat ve Altı,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-16gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-1s7z6eat3-p-64982225,6.849 TL
,,Bluetooth,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,Var,,Yok,Numerik Tuşlu,Ofis - İş,Yok,,TN,32 GB,Beyaz,1 TB,,HD Ready (HD),1366 x 768,3.00 GHz üstü,1 - 2,10110U,10. Nesil,Intel Core i3,2,Windows,3 Saat ve Altı,https://www.trendyol.com//hp/15-da2095nt-intel-core-i3-10110u-32gb-1tb-ssd-win10-pro-15-6-tasinabilir-bilgisayar-1s7z6eat9-p-64983658,9.899 TL
,,USB,2 - 4 kg,Yok,"14,1 inç",DDR,Paylaşımlı,Dahili,Dahili Ekran Kartı,HD,Distribütör Garantili,,,,64 GB,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Gri,128 GB,,,1366 x 768,,2 - 3,N3350,3. Nesil,Intel Celeron,2,Windows,4 - 6 Saat,https://www.trendyol.com//hometech/alfa-450c-intel-celeron-n3350-4gb-128gb-ssd-14-windows-10-home-dizustu-bilgisayar-p-55371118,2.599 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,,1 TB,1 TB,Q Türkçe,Oyun,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ip-gaming-3-intel-core-i5-10300h-8gb-1tb-256gb-ssd-gtx1650-w10-pro-15-6-81y400datxa29-p-63128913,"11.821,87 TL"
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel Iris Graphics,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,,,1065G7,10. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-15-iml-intel-core-i7-1065g7-16gb-512gb-ssd-w10-pro-15-6-fhd-20sm003atx19-p-64971244,10.929 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,2 GB,Harici,Nvidia GeForce MX130,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,4 GB,Gri,256 GB,,,1366 x 768,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-3-core-i5-10210u-1-6ghz-4gb-256gb-ssd-15-6-mx130-2gb-w10-p-65326247,6.849 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,20 GB,Gri,256 GB,,,1366 x 768,,,7020U,7. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//lenovo/ideapad-s145-15ikb-intel-core-i3-7020u-20gb-256gb-ssd-w10home-15-6-81vd00e7tx11-p-64944565,7.199 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR,Paylaşımlı,Dahili,Intel HD 620,HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Siyah,128 GB,,,1366 x 768,,1 - 2,1005G1,10. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//hp/250-g7-255g9es-15-6-core-i3-1005g1-4gb-128gb-ssd-o-b-uhd-frd-p-57324640,"4.843,90 TL"
